,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
21,WY,57,408,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,0
22,MT,54,408,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,0
23,MO,20,415,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,0
24,HI,49,510,0,0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,0
25,NH,75,510,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,0
26,AZ,12,408,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,1
27,OK,57,408,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,0
28,AK,36,408,0,1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,0
29,MA,78,415,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,0
30,AK,136,415,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0
31,GA,98,408,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0
32,MD,135,408,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1
33,AR,34,510,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,0
34,ID,160,415,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0
35,WI,64,510,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,0
36,OR,59,408,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,0
37,MI,65,415,0,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0
38,DE,142,408,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,0
39,WY,97,415,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,0
40,IA,52,408,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0
41,IN,60,408,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,0
42,VA,10,408,0,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,0
43,UT,96,415,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0
44,IN,81,408,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0
45,CO,141,415,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,0
46,CO,121,408,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1
47,OK,125,408,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,0
48,ID,174,408,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0
49,CA,116,415,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0
50,SD,149,408,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0
51,NC,38,408,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,0
52,WA,40,415,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0
53,WY,43,415,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0
54,MN,113,408,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0
55,UT,126,408,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0
56,TX,150,510,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1
57,NJ,138,408,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0
58,MN,162,510,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0
59,NM,147,510,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,0
60,NV,90,415,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0
61,HI,85,415,0,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,0
62,MN,50,415,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0
63,DC,82,415,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,1
64,NY,144,408,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,1
65,MN,46,415,0,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0
66,MD,70,408,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,0
67,WV,144,415,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,0
68,OR,116,415,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0
69,GA,70,415,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0
70,VT,128,510,0,1,29,179.3,104,225.9,86,323.0,78,8.6,7,0,0
71,IN,94,408,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,1
72,WV,111,510,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,0
73,KY,74,415,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0
74,NJ,128,415,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1
75,DC,82,510,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0
76,LA,155,415,0,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,1
77,AR,80,415,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,0
78,ME,78,415,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0
79,AZ,90,415,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0
80,MT,73,415,0,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,0
81,AZ,99,415,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0
82,MS,120,408,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1
83,ID,77,415,0,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,1
84,IA,98,510,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0
85,MA,108,415,0,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,0
86,KY,95,408,0,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,0
87,IN,122,408,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0
88,AZ,95,408,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,0
89,MI,36,510,0,1,29,281.4,102,202.2,76,187.2,113,9.0,6,2,0
90,NM,93,510,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,0
91,UT,157,408,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0
92,MI,120,408,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,0
93,AL,98,408,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,0
94,DE,125,408,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,0
95,AZ,63,415,0,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0
96,ME,36,510,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,1
97,NJ,64,510,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0
98,NV,74,415,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,1
99,NE,46,408,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0
100,TX,41,408,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0
101,MD,121,510,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0
102,MS,193,415,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0
103,NV,130,510,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0
104,AZ,85,408,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,0
105,MS,162,415,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1
106,MS,61,510,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1
107,TX,92,408,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,0
108,NE,90,415,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0
109,CA,75,408,0,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,0
110,NJ,78,415,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,0
111,TX,82,408,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0
112,AR,163,408,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,0
113,AL,91,510,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0
114,AK,127,510,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0
115,NV,113,415,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,0
116,DE,110,510,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0
117,MD,120,415,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0
118,MI,157,415,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0
119,VT,103,510,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0
120,VT,117,408,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1
121,LA,121,408,0,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,0
122,RI,145,408,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0
123,IA,113,408,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0
124,NE,117,415,0,0,0,102.8,119,206.7,91,299.0,105,10.1,7,1,0
125,OH,65,408,0,0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,0
126,RI,56,415,0,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,0
127,OK,96,415,0,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,0
128,LA,151,408,0,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0
129,OH,83,415,0,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1
130,VA,139,510,0,1,23,157.6,129,247.0,96,259.2,112,13.7,2,0,0
131,MO,6,510,0,0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0
132,FL,115,510,0,1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0
133,VA,141,415,0,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,0
134,MI,62,415,0,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0
135,GA,185,510,0,1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0
136,DC,148,415,0,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,0
137,AZ,94,408,0,1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0
138,AL,32,510,0,0,0,230.9,87,187.4,90,154.0,53,6.3,2,0,0
139,CO,68,408,0,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0
140,NM,25,415,0,0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0
141,OR,65,415,0,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0
142,LA,179,408,0,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0
143,NE,94,415,0,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,0
144,MN,62,415,0,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0
145,AR,116,408,0,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,0
146,KS,70,408,0,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,0
147,WV,94,510,1,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0
148,AK,126,415,0,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1
149,NY,67,408,0,1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0
150,NH,19,408,0,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,0
151,VA,170,510,1,0,0,259.9,68,245.0,122,134.4,121,8.4,3,3,0
152,NM,73,415,0,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,0
153,NY,106,408,0,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,0
154,AZ,93,415,0,0,0,271.6,71,229.4,108,77.3,121,10.9,3,2,0
155,WA,51,408,0,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,0
156,TX,130,415,0,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,0
157,KY,80,408,0,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,0
158,MT,94,415,0,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,0
159,OK,118,408,0,1,23,289.5,52,166.6,111,119.1,88,9.5,4,1,0
160,MD,117,415,0,1,23,198.1,86,177.0,86,180.5,92,6.8,6,1,0
161,TN,78,415,0,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,0
162,TX,208,510,0,0,0,326.5,67,176.3,113,181.7,102,10.7,6,2,1
163,ME,131,510,1,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,1
164,DC,63,408,0,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,0
165,MN,53,415,0,1,24,145.7,146,220.5,136,249.9,96,13.1,5,3,0
166,DE,62,408,0,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,0
167,MD,97,415,0,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,0
168,MI,105,510,0,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,0
169,WA,157,415,0,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,0
170,MO,66,415,0,1,36,106.7,76,209.8,77,190.4,117,12.1,2,1,0
171,IN,122,415,0,0,0,243.8,98,83.9,72,179.8,84,13.7,8,2,0
172,OR,38,415,0,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,0
173,MD,106,510,0,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,0
174,RI,99,510,0,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,0
175,LA,99,415,0,0,0,241.1,72,155.6,98,188.2,109,11.6,10,1,0
176,AZ,144,510,1,0,0,203.5,100,247.6,103,194.3,94,11.9,11,0,0
177,LA,93,415,0,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,0
178,FL,120,415,0,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,0
179,AL,106,415,0,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,0
180,WA,81,415,0,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,0
181,TN,127,408,0,1,22,166.0,114,174.5,103,244.9,68,10.2,6,1,0
182,MS,65,415,0,0,0,136.1,112,272.9,96,220.2,104,4.4,2,1,0
183,ME,35,408,0,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,0
184,OK,88,408,0,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,0
185,IN,65,415,0,0,0,213.4,111,234.5,94,250.1,123,2.7,4,1,0
186,MO,123,415,0,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,0
187,IA,126,408,0,1,27,186.2,78,189.6,83,76.5,139,9.6,3,2,0
188,KY,45,415,0,1,22,196.6,84,313.2,92,163.3,108,11.9,3,0,0
189,MD,93,408,1,0,0,312.0,109,129.4,100,217.6,74,10.5,2,0,1
190,OH,63,415,1,1,36,199.0,110,291.3,111,197.6,92,11.0,6,1,0
191,OK,100,415,0,0,0,203.1,96,217.0,126,180.9,122,13.5,2,3,0
192,NV,53,415,0,0,0,168.8,97,220.3,87,154.3,113,10.9,2,0,0
193,ID,92,415,1,0,0,173.1,140,240.3,105,233.2,117,9.0,5,1,0
194,MN,139,510,0,0,0,134.4,106,211.3,98,193.6,125,10.2,2,5,1
195,SD,110,408,0,1,40,202.6,103,118.8,128,234.9,98,9.0,9,2,0
196,IL,110,408,0,0,0,74.5,117,200.8,98,192.2,101,9.8,7,3,0
197,WY,215,510,0,0,0,83.6,148,120.9,91,226.6,110,10.7,9,0,0
198,NJ,138,510,0,0,0,220.2,89,88.3,125,195.3,79,12.9,5,0,0
199,NV,137,415,1,0,0,135.1,95,134.1,102,223.1,81,12.3,2,2,1
200,WV,85,408,0,0,0,225.0,81,176.9,63,194.3,110,7.1,2,3,0
201,SC,22,408,0,0,0,110.3,107,166.5,93,202.3,96,9.5,5,0,0
202,RI,107,415,0,1,37,60.0,102,102.2,80,261.8,106,11.1,3,0,0
203,IN,51,510,0,0,0,214.8,94,149.7,58,283.4,66,10.2,5,0,0
204,AZ,94,408,0,0,0,181.8,85,202.4,98,245.9,97,9.2,2,4,0
205,OR,33,415,0,1,29,157.4,99,117.9,80,279.2,79,13.9,11,4,1
206,NJ,106,415,0,0,0,207.9,91,172.0,109,191.8,143,14.4,7,4,0
207,MI,86,510,0,1,41,119.0,101,230.0,134,236.9,58,9.5,3,0,0
208,TX,97,415,1,0,0,143.7,117,273.0,82,178.3,81,10.9,3,0,0
209,FL,106,408,0,1,32,165.9,126,216.5,93,173.1,86,14.1,8,4,0
210,DC,108,510,0,0,0,138.6,122,172.3,117,231.6,92,9.8,3,1,0
211,TX,114,415,0,0,0,84.7,118,249.9,86,193.4,95,14.5,8,1,0
212,KS,92,408,1,0,0,62.6,111,180.6,126,221.7,80,10.4,2,1,1
213,UT,59,510,0,0,0,155.2,79,235.3,123,169.4,80,8.7,4,1,0
214,MN,24,510,0,1,25,164.9,110,209.3,105,231.2,55,6.7,9,1,0
215,IL,151,408,0,0,0,134.5,88,143.1,112,223.9,61,15.4,1,1,0
216,NM,117,415,0,0,0,143.3,103,211.3,108,185.2,96,11.5,3,1,0
217,SC,78,510,0,0,0,168.3,110,221.2,73,241.0,136,12.5,1,1,0
218,NC,155,408,0,0,0,262.4,55,194.6,113,146.5,85,8.3,6,2,0
219,WV,114,510,0,1,30,206.2,79,260.0,91,291.6,83,11.4,6,1,0
220,RI,114,510,0,1,28,225.8,94,193.0,117,232.4,100,8.4,9,4,0
221,NH,119,408,0,0,0,138.3,89,170.5,78,263.9,98,13.5,6,3,0
222,MA,118,408,1,0,0,160.0,123,175.4,96,184.8,99,9.9,3,2,0
223,PA,101,415,0,0,0,206.6,105,224.9,117,249.9,100,14.6,3,0,0
224,OK,117,415,0,0,0,134.7,121,180.0,83,200.9,104,7.7,3,1,0
225,AL,49,415,0,1,28,214.4,78,235.2,100,206.2,107,8.0,13,3,0
226,WY,139,415,0,0,0,192.8,104,234.4,96,203.2,101,13.0,3,3,0
227,PA,92,408,0,1,28,151.1,90,194.8,79,239.2,114,10.0,3,1,0
228,HI,148,510,1,0,0,218.9,88,208.0,85,203.3,99,11.1,4,0,0
229,SD,144,408,0,1,48,189.8,96,123.4,67,214.2,106,6.5,2,2,1
230,AL,131,415,0,1,25,192.7,85,225.9,105,254.2,59,10.9,6,2,0
231,VT,146,510,1,0,0,204.4,135,219.1,90,222.7,114,10.5,6,3,0
232,MT,143,415,0,0,0,172.3,97,174.0,108,188.2,119,13.0,4,2,0
233,MN,81,415,0,0,0,198.4,93,210.9,108,193.3,71,10.4,6,2,0
234,AK,48,415,0,1,37,211.7,115,159.9,84,144.1,80,12.2,1,1,0
235,SD,145,408,0,1,24,147.5,90,175.7,108,252.1,102,15.6,3,2,0
236,MI,137,510,0,0,0,206.4,122,128.0,102,194.5,84,8.8,5,2,0
237,KS,137,408,0,0,0,205.9,88,209.3,86,289.9,84,14.5,4,2,0
238,AL,167,510,0,0,0,207.6,88,132.4,63,255.2,98,14.1,5,0,0
239,OK,89,510,0,0,0,303.9,95,260.9,114,312.1,89,5.3,3,1,1
240,CT,199,415,0,1,34,230.6,121,219.4,99,299.3,94,8.0,2,0,0
241,NE,132,510,0,0,0,99.5,110,129.1,80,125.1,124,9.7,3,0,0
242,WI,94,510,0,0,0,177.1,112,194.0,112,146.7,108,5.9,4,1,0
243,WI,96,510,0,1,18,172.7,86,133.4,113,259.5,70,9.8,3,1,0
244,IN,166,510,0,0,0,204.2,115,179.9,152,216.8,109,9.5,5,1,0
245,DC,74,415,0,0,0,85.7,83,247.7,67,142.4,85,10.1,5,2,0
246,AR,36,415,0,0,0,157.6,117,184.3,58,240.4,99,11.9,1,0,0
247,ME,113,415,0,0,0,215.5,129,218.7,117,207.1,91,6.6,9,4,0
248,MD,67,415,0,0,0,171.7,80,110.4,81,195.4,111,11.9,4,2,0
249,FL,127,415,0,0,0,266.6,106,264.8,168,207.2,119,5.9,2,1,1
250,IA,158,415,0,0,0,158.0,106,292.5,114,241.1,89,9.1,4,1,0
251,AZ,136,510,0,0,0,92.0,117,253.6,77,214.1,90,10.3,10,1,0
252,MO,196,415,0,0,0,234.0,109,249.5,114,173.1,70,9.1,5,2,0
253,VT,113,415,0,0,0,272.1,111,268.5,118,213.8,105,8.5,10,1,1
254,IN,122,408,0,0,0,296.4,99,214.8,89,133.9,107,11.4,3,4,1
255,RI,112,510,0,0,0,194.4,101,190.3,82,183.4,107,11.4,2,0,0
256,SD,209,415,0,0,0,227.2,128,258.4,92,183.5,74,8.9,4,3,0
257,MN,62,415,0,0,0,248.7,109,220.0,118,265.7,78,13.2,2,1,1
258,TX,110,415,0,1,38,236.3,102,195.9,112,183.5,82,9.7,6,1,0
259,VA,16,510,0,0,0,205.6,69,169.5,93,220.1,64,10.9,3,0,0
260,MA,73,408,0,0,0,94.1,136,280.3,122,205.0,77,9.8,4,0,0
261,ID,128,408,0,0,0,125.2,99,205.4,107,254.4,111,18.9,2,0,0
262,MA,39,408,0,0,0,60.4,158,306.2,120,123.9,46,12.4,3,1,0
263,GA,103,415,0,1,28,121.0,105,270.4,100,160.5,76,7.7,4,2,0
264,RI,119,415,0,1,29,117.8,66,256.8,114,147.6,76,7.6,3,3,0
265,MA,86,510,0,0,0,176.3,79,259.2,97,287.4,78,6.2,3,0,0
266,WY,114,415,0,1,32,125.2,79,177.8,105,232.4,89,12.9,3,1,0
267,VA,104,408,0,0,0,138.7,107,256.9,113,234.9,74,10.0,3,0,0
268,OR,148,415,0,0,0,86.3,134,246.6,92,251.6,91,11.3,4,1,0
269,VA,129,408,0,0,0,207.0,91,154.9,121,245.1,112,13.4,5,3,0
270,ME,100,510,0,1,30,58.8,104,219.5,107,152.3,118,7.1,3,0,0
271,AL,121,408,0,1,35,68.7,95,209.2,69,197.4,42,11.4,4,1,0
272,GA,143,408,0,1,33,239.2,109,235.5,112,156.3,95,9.5,4,1,0
273,IA,76,510,0,0,0,198.3,130,217.1,86,188.4,96,12.5,3,0,0
274,AZ,158,510,0,0,0,205.2,97,240.6,77,79.7,108,14.4,12,0,0
275,FL,116,510,0,0,0,192.1,98,312.9,135,130.2,94,7.9,2,3,0
276,MT,54,415,0,0,0,272.6,83,248.7,74,197.4,111,9.5,2,1,1
277,AL,86,415,0,0,0,128.3,121,197.1,93,138.4,152,12.2,5,7,1
278,DE,108,510,0,0,0,169.6,99,264.1,87,206.3,78,9.3,4,0,0
279,KY,151,408,0,1,17,214.7,97,138.5,90,169.1,44,8.6,4,1,0
280,SC,99,510,0,0,0,169.2,70,271.5,77,170.2,104,10.6,2,0,0
281,WA,55,415,0,0,0,194.1,121,176.6,110,302.8,136,7.0,7,2,0
282,AK,78,408,0,0,0,225.1,67,199.2,127,175.5,102,14.6,2,0,0
283,GA,89,415,0,0,0,213.0,63,176.6,71,262.6,126,9.1,1,1,1
284,IL,44,415,0,1,34,221.8,105,161.7,85,227.7,62,14.0,7,0,0
285,IN,98,408,0,1,21,64.6,98,176.1,86,244.8,84,0.0,0,2,0
286,SC,64,510,0,1,37,154.6,92,83.4,103,165.9,99,13.3,3,1,0
287,VA,141,415,0,0,0,260.2,131,179.2,120,135.0,119,7.2,8,3,0
288,WI,81,415,0,1,33,161.6,117,123.0,90,261.3,101,12.2,5,1,0
289,VT,162,510,0,0,0,220.6,117,155.2,121,186.7,89,10.5,11,1,0
290,AZ,83,415,0,1,41,155.9,122,162.3,107,127.6,105,13.1,5,3,0
291,AK,59,510,0,0,0,182.5,104,204.7,95,229.9,100,11.3,8,4,0
292,AR,179,415,1,1,38,220.1,78,234.3,71,237.3,85,10.1,4,4,0
293,AR,79,408,0,0,0,152.2,112,177.2,132,96.4,87,5.3,3,1,0
294,AK,117,415,0,0,0,181.5,95,205.1,88,204.0,82,14.7,9,2,0
295,MS,64,408,1,0,0,236.2,77,218.6,85,194.1,97,13.2,2,2,1
296,NM,122,408,0,1,23,134.2,85,227.3,132,122.4,96,8.5,2,2,0
297,SC,90,408,0,1,29,150.1,109,264.7,103,178.4,97,5.8,4,1,0
298,CO,159,408,1,0,0,257.1,53,312.2,127,183.0,82,8.8,6,1,1
299,DE,148,415,0,0,0,124.4,83,179.7,81,253.0,99,11.3,6,0,0
300,OH,39,415,0,1,36,141.7,121,232.3,113,222.1,131,12.0,5,1,0
301,MS,77,408,0,0,0,230.0,87,103.2,138,309.6,136,11.3,3,2,0
302,OK,194,408,0,0,0,162.3,88,213.7,118,192.1,81,10.9,2,0,0
303,NC,112,415,0,0,0,193.3,96,264.1,123,128.6,115,9.1,3,4,0
304,MD,45,415,0,0,0,78.2,127,253.4,108,255.0,100,18.0,3,1,0
305,KS,132,415,0,0,0,83.4,110,232.2,137,146.7,114,7.6,5,1,0
306,NC,135,415,0,0,0,201.8,81,225.0,114,204.4,82,10.3,6,1,0
307,NM,56,408,0,0,0,197.0,110,222.8,102,225.3,91,10.6,6,2,0
308,CA,151,415,1,0,0,218.0,57,114.4,88,269.2,95,12.4,1,0,1
309,NY,32,415,0,0,0,164.8,98,229.9,96,167.3,108,14.8,2,2,0
310,SD,87,415,0,1,21,214.0,113,180.0,114,134.5,82,10.6,5,0,0
311,DC,138,415,0,0,0,170.5,87,118.2,116,187.9,111,11.2,7,2,0
312,ND,79,408,0,0,0,205.7,123,214.5,108,226.1,106,6.7,18,1,0
313,MO,95,415,1,0,0,165.5,84,286.2,112,198.9,89,11.5,2,1,1
314,KS,127,415,0,0,0,221.0,100,160.7,113,233.1,96,6.8,4,2,0
315,SD,137,510,0,0,0,242.1,118,191.0,93,218.6,50,14.7,2,3,0
316,OK,97,415,0,0,0,151.6,107,155.4,96,240.0,112,14.7,4,1,0
317,OR,149,415,1,0,0,176.2,87,145.0,81,249.5,92,5.7,4,0,0
318,IN,117,415,1,1,22,196.0,82,322.7,82,225.6,120,3.7,5,1,0
